starttime	seconds	ctime	dtime	ttime	wait
Wed Dec 06 18:25:58 2023	1701915958	86	545	631	247
Wed Dec 06 18:20:54 2023	1701915654	198	433	631	425
Wed Dec 06 18:20:44 2023	1701915644	102	529	631	212
Wed Dec 06 18:20:54 2023	1701915654	198	433	631	206
Wed Dec 06 18:20:44 2023	1701915644	102	529	631	212
Wed Dec 06 18:20:55 2023	1701915655	351	280	631	181
Wed Dec 06 18:20:44 2023	1701915644	102	529	631	211
Wed Dec 06 18:20:44 2023	1701915644	104	527	631	211
Wed Dec 06 18:21:59 2023	1701915719	179	452	631	266
Wed Dec 06 18:27:23 2023	1701916043	337	294	631	189
Wed Dec 06 18:20:44 2023	1701915644	102	529	631	215
Wed Dec 06 18:20:44 2023	1701915644	102	529	631	211
Wed Dec 06 18:21:59 2023	1701915719	179	452	631	265
Wed Dec 06 18:21:59 2023	1701915719	179	452	631	266
Wed Dec 06 18:21:59 2023	1701915719	179	452	631	155
Wed Dec 06 18:20:44 2023	1701915644	102	529	631	211
Wed Dec 06 18:21:20 2023	1701915680	444	187	631	184
Wed Dec 06 18:21:20 2023	1701915680	444	187	632	186
Wed Dec 06 18:21:20 2023	1701915680	445	187	632	184
Wed Dec 06 18:27:07 2023	1701916027	562	70	632	67
Wed Dec 06 18:25:42 2023	1701915942	246	386	632	297
Wed Dec 06 18:27:07 2023	1701916027	562	70	632	67
Wed Dec 06 18:25:42 2023	1701915942	246	386	632	299
Wed Dec 06 18:24:25 2023	1701915865	81	551	632	526
Wed Dec 06 18:24:48 2023	1701915888	197	436	632	196
Wed Dec 06 18:21:26 2023	1701915686	112	520	632	297
Wed Dec 06 18:20:41 2023	1701915641	226	406	632	317
Wed Dec 06 18:20:41 2023	1701915641	226	406	632	317
Wed Dec 06 18:21:26 2023	1701915686	112	521	633	297
Wed Dec 06 18:24:43 2023	1701915883	46	587	633	586
Wed Dec 06 18:25:42 2023	1701915942	245	388	633	298
Wed Dec 06 18:20:41 2023	1701915641	227	406	633	315
Wed Dec 06 18:26:57 2023	1701916017	133	501	633	387
Wed Dec 06 18:23:17 2023	1701915797	10	623	633	599
