starttime	seconds	ctime	dtime	ttime	wait
Wed Dec 06 18:31:06 2023	1701916266	19	42	61	42
Wed Dec 06 18:30:47 2023	1701916247	26	34	61	33
Wed Dec 06 18:31:09 2023	1701916269	25	36	61	35
Wed Dec 06 18:31:24 2023	1701916284	8	52	61	52
Wed Dec 06 18:31:00 2023	1701916260	19	42	61	29
Wed Dec 06 18:31:10 2023	1701916270	14	46	61	45
Wed Dec 06 18:30:58 2023	1701916258	34	27	61	25
Wed Dec 06 18:30:58 2023	1701916258	30	30	61	28
Wed Dec 06 18:30:48 2023	1701916248	36	25	61	12
Wed Dec 06 18:31:45 2023	1701916305	38	22	61	20
Wed Dec 06 18:30:58 2023	1701916258	21	40	61	20
Wed Dec 06 18:31:15 2023	1701916275	39	22	61	16
Wed Dec 06 18:31:47 2023	1701916307	18	43	61	30
Wed Dec 06 18:31:15 2023	1701916275	38	22	61	15
Wed Dec 06 18:30:57 2023	1701916257	23	38	61	33
Wed Dec 06 18:31:45 2023	1701916305	19	42	61	39
Wed Dec 06 18:31:09 2023	1701916269	25	36	61	33
Wed Dec 06 18:30:54 2023	1701916254	37	24	61	22
Wed Dec 06 18:30:47 2023	1701916247	26	35	61	34
Wed Dec 06 18:31:09 2023	1701916269	25	36	61	36
Wed Dec 06 18:30:56 2023	1701916256	24	37	61	37
Wed Dec 06 18:31:40 2023	1701916300	34	27	61	27
Wed Dec 06 18:31:38 2023	1701916298	35	26	61	26
Wed Dec 06 18:31:07 2023	1701916267	47	14	61	13
Wed Dec 06 18:31:40 2023	1701916300	34	27	61	25
Wed Dec 06 18:30:57 2023	1701916257	23	38	61	32
Wed Dec 06 18:30:57 2023	1701916257	23	38	61	22
Wed Dec 06 18:30:48 2023	1701916248	37	24	61	24
Wed Dec 06 18:30:54 2023	1701916254	37	24	61	19
Wed Dec 06 18:30:48 2023	1701916248	37	24	61	23
Wed Dec 06 18:31:19 2023	1701916279	27	34	61	23
Wed Dec 06 18:30:56 2023	1701916256	24	37	61	36
Wed Dec 06 18:31:40 2023	1701916300	28	33	61	20
Wed Dec 06 18:31:33 2023	1701916293	36	25	61	24
Wed Dec 06 18:31:38 2023	1701916298	35	26	61	14
Wed Dec 06 18:30:56 2023	1701916256	22	39	61	16
Wed Dec 06 18:31:16 2023	1701916276	33	28	61	23
Wed Dec 06 18:31:46 2023	1701916306	10	52	61	12
Wed Dec 06 18:31:40 2023	1701916300	34	27	61	25
Wed Dec 06 18:31:09 2023	1701916269	34	27	61	23
Wed Dec 06 18:31:00 2023	1701916260	35	26	61	25
